[Write] Wrote value 0x55ed4869be70 to address 0x55ed473260d8
[Write] Wrote value 0x0 to address 0x7ffdbfdeff5c
[Write] Wrote value 0x55ed4869e0b0 to address 0x7ffdbfdeff50
[Write] Wrote value 0x55ed4869e0e0 to address 0x7ffdbfdeff48
[Write] Wrote value 0x0 to address 0x7ffdbfdeff44
[Read] Read value 0x0 from address 0x7ffdbfdeff44
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x0 from address 0x7ffdbfdeff44
[Write] Wrote value 0x0 to address 0x55ed4869e0b0
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x0 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x55ed4869e0e0
[Read] Read value 0x0 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x7ffdbfdeff44
[Read] Read value 0x1 from address 0x7ffdbfdeff44
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x1 from address 0x7ffdbfdeff44
[Write] Wrote value 0x0 to address 0x55ed4869e0b4
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x1 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x55ed4869e0e4
[Read] Read value 0x1 from address 0x7ffdbfdeff44
[Write] Wrote value 0x2 to address 0x7ffdbfdeff44
[Read] Read value 0x2 from address 0x7ffdbfdeff44
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x2 from address 0x7ffdbfdeff44
[Write] Wrote value 0x0 to address 0x55ed4869e0b8
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x2 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x55ed4869e0e8
[Read] Read value 0x2 from address 0x7ffdbfdeff44
[Write] Wrote value 0x3 to address 0x7ffdbfdeff44
[Read] Read value 0x3 from address 0x7ffdbfdeff44
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x3 from address 0x7ffdbfdeff44
[Write] Wrote value 0x0 to address 0x55ed4869e0bc
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x3 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x55ed4869e0ec
[Read] Read value 0x3 from address 0x7ffdbfdeff44
[Write] Wrote value 0x4 to address 0x7ffdbfdeff44
[Read] Read value 0x4 from address 0x7ffdbfdeff44
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x4 from address 0x7ffdbfdeff44
[Write] Wrote value 0x0 to address 0x55ed4869e0c0
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x4 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x55ed4869e0f0
[Read] Read value 0x4 from address 0x7ffdbfdeff44
[Write] Wrote value 0x5 to address 0x7ffdbfdeff44
[Read] Read value 0x5 from address 0x7ffdbfdeff44
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x5 from address 0x7ffdbfdeff44
[Write] Wrote value 0x0 to address 0x55ed4869e0c4
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x5 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x55ed4869e0f4
[Read] Read value 0x5 from address 0x7ffdbfdeff44
[Write] Wrote value 0x6 to address 0x7ffdbfdeff44
[Read] Read value 0x6 from address 0x7ffdbfdeff44
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x6 from address 0x7ffdbfdeff44
[Write] Wrote value 0x0 to address 0x55ed4869e0c8
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x6 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x55ed4869e0f8
[Read] Read value 0x6 from address 0x7ffdbfdeff44
[Write] Wrote value 0x7 to address 0x7ffdbfdeff44
[Read] Read value 0x7 from address 0x7ffdbfdeff44
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x7 from address 0x7ffdbfdeff44
[Write] Wrote value 0x0 to address 0x55ed4869e0cc
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x7 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x55ed4869e0fc
[Read] Read value 0x7 from address 0x7ffdbfdeff44
[Write] Wrote value 0x8 to address 0x7ffdbfdeff44
[Read] Read value 0x8 from address 0x7ffdbfdeff44
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x8 from address 0x7ffdbfdeff44
[Write] Wrote value 0x0 to address 0x55ed4869e0d0
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x8 from address 0x7ffdbfdeff44
[Write] Wrote value 0x1 to address 0x55ed4869e100
[Read] Read value 0x8 from address 0x7ffdbfdeff44
[Write] Wrote value 0x9 to address 0x7ffdbfdeff44
