[Write] Wrote value 0x5618cee92e70 to address 0x5618cde590d8
[Write] Wrote value 0x0 to address 0x7fff3b41447c
[Write] Wrote value 0x5618cee950b0 to address 0x7fff3b414470
[Write] Wrote value 0x5618cee950e0 to address 0x7fff3b414468
[Write] Wrote value 0x0 to address 0x7fff3b414464
[Read] Read value 0x0 from address 0x7fff3b414464
[Read] Read value 0x5618cee950b0 from address 0x7fff3b414470
[Read] Read value 0x0 from address 0x7fff3b414464
[Write] Wrote value 0x0 to address 0x5618cee950b0
[Read] Read value 0x5618cee950e0 from address 0x7fff3b414468
[Read] Read value 0x0 from address 0x7fff3b414464
[Write] Wrote value 0x1 to address 0x5618cee950e0
[Read] Read value 0x0 from address 0x7fff3b414464
[Write] Wrote value 0x1 to address 0x7fff3b414464
[Read] Read value 0x1 from address 0x7fff3b414464
[Read] Read value 0x5618cee950b0 from address 0x7fff3b414470
[Read] Read value 0x1 from address 0x7fff3b414464
[Write] Wrote value 0x0 to address 0x5618cee950b4
[Read] Read value 0x5618cee950e0 from address 0x7fff3b414468
[Read] Read value 0x1 from address 0x7fff3b414464
[Write] Wrote value 0x1 to address 0x5618cee950e4
[Read] Read value 0x1 from address 0x7fff3b414464
[Write] Wrote value 0x2 to address 0x7fff3b414464
[Read] Read value 0x2 from address 0x7fff3b414464
[Read] Read value 0x5618cee950b0 from address 0x7fff3b414470
[Read] Read value 0x2 from address 0x7fff3b414464
[Write] Wrote value 0x0 to address 0x5618cee950b8
[Read] Read value 0x5618cee950e0 from address 0x7fff3b414468
[Read] Read value 0x2 from address 0x7fff3b414464
[Write] Wrote value 0x1 to address 0x5618cee950e8
[Read] Read value 0x2 from address 0x7fff3b414464
[Write] Wrote value 0x3 to address 0x7fff3b414464
[Read] Read value 0x3 from address 0x7fff3b414464
[Read] Read value 0x5618cee950b0 from address 0x7fff3b414470
[Read] Read value 0x3 from address 0x7fff3b414464
[Write] Wrote value 0x0 to address 0x5618cee950bc
[Read] Read value 0x5618cee950e0 from address 0x7fff3b414468
[Read] Read value 0x3 from address 0x7fff3b414464
[Write] Wrote value 0x1 to address 0x5618cee950ec
[Read] Read value 0x3 from address 0x7fff3b414464
[Write] Wrote value 0x4 to address 0x7fff3b414464
[Read] Read value 0x4 from address 0x7fff3b414464
[Read] Read value 0x5618cee950b0 from address 0x7fff3b414470
[Read] Read value 0x4 from address 0x7fff3b414464
[Write] Wrote value 0x0 to address 0x5618cee950c0
[Read] Read value 0x5618cee950e0 from address 0x7fff3b414468
[Read] Read value 0x4 from address 0x7fff3b414464
[Write] Wrote value 0x1 to address 0x5618cee950f0
